reading test data from : satellite_test_adj.txt
handling NNC with K:3
test_object =     0, predicted_class =   2, true_class =   2, nn =     5, distance =    1.28, accuracy = 1.00
test_object =   123, predicted_class =   2, true_class =   2, nn =   368, distance =    1.22, accuracy = 1.00
test_object =   124, predicted_class =   2, true_class =   2, nn =   162, distance =    1.13, accuracy = 1.00
test_object =   125, predicted_class =   2, true_class =   2, nn =   301, distance =    1.12, accuracy = 1.00
test_object =   126, predicted_class =   2, true_class =   2, nn =  4019, distance =    1.06, accuracy = 1.00
test_object =   127, predicted_class =   3, true_class =   2, nn =  1868, distance =    1.26, accuracy = 0.00
test_object =   128, predicted_class =   3, true_class =   2, nn =  1871, distance =    1.42, accuracy = 0.00
test_object =   129, predicted_class =   6, true_class =   6, nn =  1252, distance =    1.25, accuracy = 1.00
test_object =   130, predicted_class =   3, true_class =   6, nn =  1746, distance =    1.28, accuracy = 0.00
test_object =   131, predicted_class =   2, true_class =   2, nn =   386, distance =    1.30, accuracy = 1.00
test_object =   132, predicted_class =   3, true_class =   3, nn =  2988, distance =    0.93, accuracy = 1.00
test_object =   133, predicted_class =   3, true_class =   3, nn =   392, distance =    2.16, accuracy = 1.00
test_object =   134, predicted_class =   1, true_class =   1, nn =   462, distance =    2.35, accuracy = 1.00
test_object =   135, predicted_class =   1, true_class =   1, nn =   205, distance =    2.30, accuracy = 1.00
test_object =   136, predicted_class =   1, true_class =   1, nn =   581, distance =    1.65, accuracy = 1.00
test_object =   137, predicted_class =   1, true_class =   1, nn =   999, distance =    1.06, accuracy = 1.00
test_object =   138, predicted_class =   1, true_class =   1, nn =   336, distance =    1.14, accuracy = 1.00
test_object =   139, predicted_class =   1, true_class =   1, nn =   474, distance =    2.16, accuracy = 1.00
test_object =   140, predicted_class =   2, true_class =   2, nn =    78, distance =    1.13, accuracy = 1.00
test_object =   141, predicted_class =   2, true_class =   2, nn =   356, distance =    1.00, accuracy = 1.00
test_object =   142, predicted_class =   2, true_class =   2, nn =   411, distance =    0.98, accuracy = 1.00
test_object =   143, predicted_class =   2, true_class =   2, nn =   539, distance =    1.05, accuracy = 1.00
test_object =   144, predicted_class =   2, true_class =   2, nn =   355, distance =    0.83, accuracy = 1.00
test_object =   145, predicted_class =   2, true_class =   2, nn =   355, distance =    1.06, accuracy = 1.00
test_object =   146, predicted_class =   2, true_class =   2, nn =  3591, distance =    1.06, accuracy = 1.00
test_object =   147, predicted_class =   2, true_class =   2, nn =  3531, distance =    1.12, accuracy = 1.00
test_object =   148, predicted_class =   2, true_class =   2, nn =   355, distance =    1.05, accuracy = 1.00
test_object =   149, predicted_class =   2, true_class =   2, nn =   375, distance =    1.52, accuracy = 1.00
test_object =   150, predicted_class =   2, true_class =   6, nn =   375, distance =    1.56, accuracy = 0.00
test_object =   151, predicted_class =   6, true_class =   6, nn =   908, distance =    1.37, accuracy = 1.00
test_object =   152, predicted_class =   6, true_class =   6, nn =   509, distance =    1.18, accuracy = 1.00
test_object =   153, predicted_class =   6, true_class =   6, nn =  2386, distance =    1.30, accuracy = 1.00
test_object =   154, predicted_class =   2, true_class =   2, nn =   452, distance =    1.60, accuracy = 1.00
test_object =   155, predicted_class =   3, true_class =   2, nn =  2110, distance =    1.78, accuracy = 0.00
test_object =   156, predicted_class =   2, true_class =   2, nn =   322, distance =    0.86, accuracy = 1.00
test_object =   157, predicted_class =   2, true_class =   3, nn =   457, distance =    1.05, accuracy = 0.00
test_object =   158, predicted_class =   3, true_class =   2, nn =  1226, distance =    0.98, accuracy = 0.00
test_object =   159, predicted_class =   3, true_class =   3, nn =  2212, distance =    1.49, accuracy = 1.00
test_object =   160, predicted_class =   1, true_class =   1, nn =   266, distance =    1.92, accuracy = 1.00
test_object =   161, predicted_class =   1, true_class =   1, nn =   707, distance =    1.39, accuracy = 1.00
test_object =   162, predicted_class =   1, true_class =   1, nn =   707, distance =    1.26, accuracy = 1.00
test_object =   163, predicted_class =   3, true_class =   2, nn =  2065, distance =    0.99, accuracy = 0.00
test_object =   164, predicted_class =   2, true_class =   2, nn =   852, distance =    0.86, accuracy = 1.00
test_object =   165, predicted_class =   2, true_class =   2, nn =  3892, distance =    1.01, accuracy = 1.00
test_object =   166, predicted_class =   2, true_class =   2, nn =   148, distance =    1.16, accuracy = 1.00
test_object =   167, predicted_class =   2, true_class =   2, nn =    19, distance =    1.07, accuracy = 1.00
test_object =   168, predicted_class =   2, true_class =   2, nn =   496, distance =    1.23, accuracy = 1.00
test_object =   169, predicted_class =   2, true_class =   2, nn =   354, distance =    0.98, accuracy = 1.00
test_object =   170, predicted_class =   2, true_class =   2, nn =   436, distance =    1.01, accuracy = 1.00
test_object =   171, predicted_class =   3, true_class =   2, nn =  1870, distance =    1.03, accuracy = 0.00
test_object =   172, predicted_class =   6, true_class =   6, nn =  1257, distance =    1.33, accuracy = 1.00
test_object =   173, predicted_class =   3, true_class =   6, nn =  2050, distance =    1.29, accuracy = 0.00
test_object =   174, predicted_class =   3, true_class =   6, nn =  3037, distance =    1.11, accuracy = 0.00
test_object =   175, predicted_class =   6, true_class =   6, nn =   509, distance =    1.01, accuracy = 1.00
test_object =   176, predicted_class =   6, true_class =   6, nn =   510, distance =    1.12, accuracy = 1.00
test_object =   177, predicted_class =   6, true_class =   6, nn =  2218, distance =    1.20, accuracy = 1.00
test_object =   178, predicted_class =   2, true_class =   2, nn =   452, distance =    1.46, accuracy = 1.00
test_object =   179, predicted_class =   2, true_class =   2, nn =   387, distance =    0.95, accuracy = 1.00
test_object =   180, predicted_class =   3, true_class =   3, nn =   519, distance =    1.69, accuracy = 1.00
test_object =   181, predicted_class =   1, true_class =   1, nn =   393, distance =    2.05, accuracy = 1.00
test_object =   182, predicted_class =   1, true_class =   1, nn =   828, distance =    2.19, accuracy = 1.00
test_object =   183, predicted_class =   1, true_class =   1, nn =   880, distance =    1.71, accuracy = 1.00
test_object =   184, predicted_class =   1, true_class =   1, nn =   469, distance =    1.04, accuracy = 1.00
test_object =   185, predicted_class =   1, true_class =   1, nn =   824, distance =    1.18, accuracy = 1.00
test_object =   186, predicted_class =   1, true_class =   1, nn =   831, distance =    1.31, accuracy = 1.00
test_object =   187, predicted_class =   1, true_class =   1, nn =   471, distance =    1.18, accuracy = 1.00
test_object =   188, predicted_class =   1, true_class =   1, nn =   471, distance =    1.06, accuracy = 1.00
test_object =   189, predicted_class =   2, true_class =   1, nn =    73, distance =    2.08, accuracy = 0.00
test_object =   190, predicted_class =   2, true_class =   2, nn =   215, distance =    0.89, accuracy = 1.00
test_object =   191, predicted_class =   2, true_class =   2, nn =  1587, distance =    0.85, accuracy = 1.00
test_object =   192, predicted_class =   3, true_class =   2, nn =  1966, distance =    1.11, accuracy = 0.00
test_object =   193, predicted_class =   2, true_class =   2, nn =   491, distance =    0.98, accuracy = 1.00
test_object =   194, predicted_class =   2, true_class =   2, nn =   482, distance =    1.09, accuracy = 1.00
test_object =   195, predicted_class =   2, true_class =   2, nn =   353, distance =    0.92, accuracy = 1.00
test_object =   196, predicted_class =   2, true_class =   2, nn =    88, distance =    1.11, accuracy = 1.00
test_object =   197, predicted_class =   2, true_class =   2, nn =   226, distance =    1.23, accuracy = 1.00
test_object =   198, predicted_class =   2, true_class =   2, nn =   141, distance =    0.99, accuracy = 1.00
test_object =   199, predicted_class =   2, true_class =   2, nn =   514, distance =    1.13, accuracy = 1.00
test_object =   200, predicted_class =   2, true_class =   2, nn =  3590, distance =    1.11, accuracy = 1.00
test_object =   201, predicted_class =   2, true_class =   2, nn =   555, distance =    1.48, accuracy = 1.00
test_object =   202, predicted_class =   6, true_class =   6, nn =   970, distance =    1.58, accuracy = 1.00
test_object =   203, predicted_class =   6, true_class =   6, nn =  1145, distance =    1.35, accuracy = 1.00
test_object =   204, predicted_class =   6, true_class =   6, nn =  1206, distance =    1.22, accuracy = 1.00
test_object =   205, predicted_class =   6, true_class =   6, nn =   511, distance =    1.25, accuracy = 1.00
test_object =   206, predicted_class =   2, true_class =   2, nn =   449, distance =    0.94, accuracy = 1.00
test_object =   207, predicted_class =   2, true_class =   2, nn =   572, distance =    1.03, accuracy = 1.00
test_object =   208, predicted_class =   2, true_class =   2, nn =   576, distance =    0.91, accuracy = 1.00
test_object =   209, predicted_class =   2, true_class =   2, nn =  3957, distance =    0.97, accuracy = 1.00
test_object =   210, predicted_class =   3, true_class =   3, nn =   519, distance =    1.88, accuracy = 1.00
test_object =   211, predicted_class =   1, true_class =   1, nn =   463, distance =    1.97, accuracy = 1.00
test_object =   212, predicted_class =   1, true_class =   1, nn =   647, distance =    1.30, accuracy = 1.00
test_object =   213, predicted_class =   1, true_class =   1, nn =   531, distance =    1.25, accuracy = 1.00
test_object =   214, predicted_class =   1, true_class =   1, nn =   532, distance =    1.09, accuracy = 1.00
test_object =   215, predicted_class =   1, true_class =   1, nn =   826, distance =    1.52, accuracy = 1.00
test_object =   216, predicted_class =   1, true_class =   1, nn =   661, distance =    2.19, accuracy = 1.00
test_object =   217, predicted_class =   2, true_class =   2, nn =   210, distance =    1.10, accuracy = 1.00
test_object =   218, predicted_class =   3, true_class =   2, nn =  2016, distance =    0.84, accuracy = 0.00
test_object =   219, predicted_class =   2, true_class =   2, nn =   493, distance =    1.05, accuracy = 1.00
test_object =   220, predicted_class =   2, true_class =   2, nn =   286, distance =    1.03, accuracy = 1.00
test_object =   221, predicted_class =   2, true_class =   2, nn =   898, distance =    1.07, accuracy = 1.00
test_object =   222, predicted_class =   2, true_class =   2, nn =   350, distance =    1.07, accuracy = 1.00
test_object =   223, predicted_class =   2, true_class =   2, nn =   489, distance =    0.88, accuracy = 1.00
test_object =   224, predicted_class =   2, true_class =   2, nn =   226, distance =    0.92, accuracy = 1.00
test_object =   225, predicted_class =   2, true_class =   2, nn =   142, distance =    0.96, accuracy = 1.00
test_object =   226, predicted_class =   2, true_class =   2, nn =   897, distance =    1.19, accuracy = 1.00
test_object =   227, predicted_class =   2, true_class =   2, nn =   573, distance =    1.04, accuracy = 1.00
test_object =   228, predicted_class =   2, true_class =   2, nn =  3536, distance =    1.27, accuracy = 1.00
test_object =   229, predicted_class =   2, true_class =   2, nn =   556, distance =    1.22, accuracy = 1.00
test_object =   230, predicted_class =   4, true_class =   6, nn =   680, distance =    1.69, accuracy = 0.00
test_object =   231, predicted_class =   6, true_class =   6, nn =  1368, distance =    1.26, accuracy = 1.00
test_object =   232, predicted_class =   6, true_class =   6, nn =  1084, distance =    1.38, accuracy = 1.00
test_object =   233, predicted_class =   3, true_class =   6, nn =  2627, distance =    1.05, accuracy = 0.00
test_object =   234, predicted_class =   3, true_class =   6, nn =  2301, distance =    1.34, accuracy = 0.00
test_object =   235, predicted_class =   2, true_class =   2, nn =   846, distance =    1.16, accuracy = 1.00
test_object =   236, predicted_class =   2, true_class =   2, nn =  1586, distance =    1.25, accuracy = 1.00
test_object =   237, predicted_class =   3, true_class =   3, nn =   519, distance =    2.62, accuracy = 1.00
test_object =   238, predicted_class =   1, true_class =   1, nn =   463, distance =    1.39, accuracy = 1.00
test_object =   239, predicted_class =   1, true_class =   1, nn =   464, distance =    1.33, accuracy = 1.00
test_object =   240, predicted_class =   1, true_class =   1, nn =   642, distance =    1.25, accuracy = 1.00
test_object =   241, predicted_class =   1, true_class =   1, nn =   334, distance =    1.05, accuracy = 1.00
test_object =   242, predicted_class =   1, true_class =   1, nn =   650, distance =    1.84, accuracy = 1.00
test_object =   243, predicted_class =   1, true_class =   1, nn =   941, distance =    1.03, accuracy = 1.00
test_object =   244, predicted_class =   1, true_class =   1, nn =   942, distance =    1.10, accuracy = 1.00
test_object =   245, predicted_class =   1, true_class =   1, nn =   588, distance =    1.12, accuracy = 1.00
test_object =   246, predicted_class =   1, true_class =   1, nn =   588, distance =    1.01, accuracy = 1.00
test_object =   247, predicted_class =   1, true_class =   1, nn =   588, distance =    1.01, accuracy = 1.00
test_object =   248, predicted_class =   2, true_class =   2, nn =   537, distance =    0.94, accuracy = 1.00
test_object =   249, predicted_class =   2, true_class =   2, nn =   142, distance =    0.76, accuracy = 1.00
test_object =   250, predicted_class =   2, true_class =   2, nn =   727, distance =    0.97, accuracy = 1.00
test_object =   251, predicted_class =   2, true_class =   2, nn =   548, distance =    0.92, accuracy = 1.00
test_object =   252, predicted_class =   2, true_class =   2, nn =  1351, distance =    0.96, accuracy = 1.00
test_object =   253, predicted_class =   2, true_class =   2, nn =   630, distance =    1.18, accuracy = 1.00
test_object =   254, predicted_class =   2, true_class =   6, nn =   503, distance =    1.59, accuracy = 0.00
test_object =   255, predicted_class =   6, true_class =   6, nn =   614, distance =    1.28, accuracy = 1.00
test_object =   256, predicted_class =   6, true_class =   6, nn =   559, distance =    1.50, accuracy = 1.00
test_object =   257, predicted_class =   6, true_class =   6, nn =  1651, distance =    1.78, accuracy = 1.00
test_object =   258, predicted_class =   6, true_class =   6, nn =  3091, distance =    1.29, accuracy = 1.00
test_object =   259, predicted_class =   6, true_class =   6, nn =  2217, distance =    1.26, accuracy = 1.00
test_object =   260, predicted_class =   6, true_class =   6, nn =   619, distance =    1.33, accuracy = 1.00
test_object =   261, predicted_class =   2, true_class =   2, nn =   846, distance =    1.08, accuracy = 1.00
test_object =   262, predicted_class =   1, true_class =   1, nn =   643, distance =    1.02, accuracy = 1.00
test_object =   263, predicted_class =   1, true_class =   1, nn =   999, distance =    1.06, accuracy = 1.00
test_object =   264, predicted_class =   1, true_class =   1, nn =  1000, distance =    0.97, accuracy = 1.00
test_object =   265, predicted_class =   2, true_class =   2, nn =   274, distance =    1.54, accuracy = 1.00
test_object =   266, predicted_class =   2, true_class =   2, nn =   141, distance =    0.95, accuracy = 1.00
test_object =   267, predicted_class =   2, true_class =   2, nn =   215, distance =    0.95, accuracy = 1.00
test_object =   268, predicted_class =   2, true_class =   2, nn =  1645, distance =    1.13, accuracy = 1.00
test_object =   269, predicted_class =   2, true_class =   2, nn =   148, distance =    1.04, accuracy = 1.00
test_object =   270, predicted_class =   2, true_class =   2, nn =   674, distance =    1.07, accuracy = 1.00
test_object =   271, predicted_class =   2, true_class =   2, nn =    31, distance =    0.92, accuracy = 1.00
test_object =   272, predicted_class =   2, true_class =   2, nn =   368, distance =    1.11, accuracy = 1.00
test_object =   273, predicted_class =   2, true_class =   2, nn =   670, distance =    1.03, accuracy = 1.00
test_object =   274, predicted_class =   2, true_class =   2, nn =   597, distance =    1.00, accuracy = 1.00
test_object =   275, predicted_class =   2, true_class =   2, nn =  1593, distance =    1.40, accuracy = 1.00
test_object =   276, predicted_class =   6, true_class =   4, nn =  1651, distance =    1.58, accuracy = 0.00
test_object =   277, predicted_class =   6, true_class =   6, nn =  1553, distance =    1.49, accuracy = 1.00
test_object =   278, predicted_class =   6, true_class =   6, nn =  2254, distance =    1.27, accuracy = 1.00
test_object =   279, predicted_class =   6, true_class =   6, nn =  1772, distance =    1.22, accuracy = 1.00
test_object =   280, predicted_class =   6, true_class =   6, nn =  1135, distance =    1.25, accuracy = 1.00
test_object =   281, predicted_class =   6, true_class =   6, nn =  2537, distance =    1.08, accuracy = 1.00
test_object =   282, predicted_class =   2, true_class =   2, nn =   696, distance =    1.10, accuracy = 1.00
test_object =   283, predicted_class =   2, true_class =   2, nn =   845, distance =    1.14, accuracy = 1.00
test_object =   284, predicted_class =   1, true_class =   1, nn =   335, distance =    1.33, accuracy = 1.00
test_object =   285, predicted_class =   1, true_class =   1, nn =   706, distance =    1.08, accuracy = 1.00
test_object =   286, predicted_class =   1, true_class =   1, nn =   707, distance =    1.19, accuracy = 1.00
test_object =   287, predicted_class =   1, true_class =   1, nn =   765, distance =    1.02, accuracy = 1.00
test_object =   288, predicted_class =   1, true_class =   1, nn =  1001, distance =    1.09, accuracy = 1.00
test_object =   289, predicted_class =   1, true_class =   1, nn =   769, distance =    1.59, accuracy = 1.00
test_object =   290, predicted_class =   1, true_class =   1, nn =  1055, distance =    1.05, accuracy = 1.00
test_object =   291, predicted_class =   1, true_class =   1, nn =   717, distance =    0.92, accuracy = 1.00
test_object =   292, predicted_class =   1, true_class =   1, nn =  1184, distance =    0.96, accuracy = 1.00
