reading test data from : yeast_test_adj.txt
handling NNC with K:3
test_object =     0, predicted_class =   2, true_class =   2, nn =   513, distance =    0.30, accuracy = 1.00
test_object =   154, predicted_class =   4, true_class =   4, nn =   954, distance =    0.54, accuracy = 1.00
test_object =   155, predicted_class =   6, true_class =   1, nn =   950, distance =    0.34, accuracy = 0.00
test_object =   156, predicted_class =   1, true_class =   6, nn =   869, distance =    0.64, accuracy = 0.00
test_object =   157, predicted_class =   0, true_class =   6, nn =   788, distance =    0.62, accuracy = 0.00
test_object =   158, predicted_class =   6, true_class =   6, nn =   569, distance =    1.17, accuracy = 1.00
test_object =   159, predicted_class =   1, true_class =   1, nn =   317, distance =    0.59, accuracy = 1.00
test_object =   160, predicted_class =   1, true_class =   6, nn =   420, distance =    0.81, accuracy = 0.00
test_object =   161, predicted_class =   0, true_class =   0, nn =   300, distance =    0.67, accuracy = 1.00
test_object =   162, predicted_class =   6, true_class =   1, nn =   249, distance =    0.45, accuracy = 0.00
test_object =   163, predicted_class =   6, true_class =   0, nn =    98, distance =    0.51, accuracy = 0.00
test_object =   164, predicted_class =   3, true_class =   3, nn =   245, distance =    0.51, accuracy = 1.00
test_object =   165, predicted_class =   1, true_class =   6, nn =   919, distance =    1.70, accuracy = 0.00
test_object =   166, predicted_class =   1, true_class =   6, nn =   244, distance =    0.62, accuracy = 0.00
test_object =   167, predicted_class =   6, true_class =   1, nn =   223, distance =    0.68, accuracy = 0.00
test_object =   168, predicted_class =   6, true_class =   1, nn =   834, distance =    0.48, accuracy = 0.00
test_object =   169, predicted_class =   1, true_class =   0, nn =   317, distance =    0.52, accuracy = 0.00
test_object =   170, predicted_class =   0, true_class =   0, nn =   177, distance =    0.90, accuracy = 1.00
test_object =   171, predicted_class =   3, true_class =   3, nn =    10, distance =    1.46, accuracy = 1.00
test_object =   172, predicted_class =   2, true_class =   0, nn =   998, distance =    0.73, accuracy = 0.00
test_object =   173, predicted_class =   6, true_class =   6, nn =    84, distance =    0.77, accuracy = 1.00
test_object =   174, predicted_class =   1, true_class =   1, nn =    95, distance =    0.39, accuracy = 1.00
test_object =   175, predicted_class =   1, true_class =   6, nn =   305, distance =    0.46, accuracy = 0.00
test_object =   176, predicted_class =   1, true_class =   1, nn =    97, distance =    0.87, accuracy = 1.00
test_object =   177, predicted_class =   0, true_class =   0, nn =   852, distance =    1.00, accuracy = 1.00
test_object =   178, predicted_class =   0, true_class =   6, nn =    38, distance =    0.62, accuracy = 0.00
test_object =   179, predicted_class =   6, true_class =   6, nn =   555, distance =    0.12, accuracy = 1.00
test_object =   180, predicted_class =   3, true_class =   3, nn =    90, distance =    0.75, accuracy = 1.00
test_object =   181, predicted_class =   2, true_class =   2, nn =   314, distance =    0.53, accuracy = 1.00
test_object =   182, predicted_class =   1, true_class =   2, nn =   612, distance =    2.06, accuracy = 0.00
test_object =   183, predicted_class =   1, true_class =   1, nn =   170, distance =    0.83, accuracy = 1.00
test_object =   184, predicted_class =   1, true_class =   1, nn =   308, distance =    0.71, accuracy = 1.00
test_object =   185, predicted_class =   6, true_class =   6, nn =   600, distance =    0.48, accuracy = 1.00
test_object =   186, predicted_class =   1, true_class =   2, nn =   127, distance =    0.87, accuracy = 0.00
test_object =   187, predicted_class =   5, true_class =   6, nn =   316, distance =    0.47, accuracy = 0.00
test_object =   188, predicted_class =   6, true_class =   1, nn =   652, distance =    3.68, accuracy = 0.00
test_object =   189, predicted_class =   0, true_class =   0, nn =   985, distance =    0.46, accuracy = 1.00
test_object =   190, predicted_class =   6, true_class =   6, nn =   404, distance =    0.65, accuracy = 1.00
test_object =   191, predicted_class =   1, true_class =   6, nn =   219, distance =    0.58, accuracy = 0.00
test_object =   192, predicted_class =   0, true_class =   6, nn =   613, distance =    0.92, accuracy = 0.00
test_object =   193, predicted_class =   0, true_class =   8, nn =   144, distance =    0.74, accuracy = 0.00
test_object =   194, predicted_class =   0, true_class =   0, nn =   713, distance =    0.57, accuracy = 1.00
test_object =   195, predicted_class =   2, true_class =   1, nn =   911, distance =    0.47, accuracy = 0.00
test_object =   196, predicted_class =   6, true_class =   1, nn =   246, distance =    0.61, accuracy = 0.00
test_object =   197, predicted_class =   6, true_class =   2, nn =   103, distance =    0.67, accuracy = 0.00
test_object =   198, predicted_class =   6, true_class =   6, nn =    29, distance =    1.50, accuracy = 1.00
test_object =   199, predicted_class =   6, true_class =   6, nn =   785, distance =    0.48, accuracy = 1.00
test_object =   200, predicted_class =   2, true_class =   0, nn =   556, distance =    0.76, accuracy = 0.00
test_object =   201, predicted_class =   1, true_class =   2, nn =   108, distance =    0.33, accuracy = 0.00
test_object =   202, predicted_class =   1, true_class =   1, nn =   591, distance =    0.50, accuracy = 1.00
test_object =   203, predicted_class =   6, true_class =   6, nn =   373, distance =    0.77, accuracy = 1.00
test_object =   204, predicted_class =   2, true_class =   2, nn =   474, distance =    0.93, accuracy = 1.00
test_object =   205, predicted_class =   2, true_class =   2, nn =   817, distance =    1.21, accuracy = 1.00
test_object =   206, predicted_class =   1, true_class =   6, nn =   320, distance =    1.04, accuracy = 0.00
test_object =   207, predicted_class =   6, true_class =   0, nn =   753, distance =    0.69, accuracy = 0.00
test_object =   208, predicted_class =   2, true_class =   2, nn =   619, distance =    0.70, accuracy = 1.00
test_object =   209, predicted_class =   1, true_class =   1, nn =   205, distance =    0.91, accuracy = 1.00
test_object =   210, predicted_class =   1, true_class =   2, nn =   557, distance =    0.86, accuracy = 0.00
test_object =   211, predicted_class =   1, true_class =   1, nn =   257, distance =    0.65, accuracy = 1.00
test_object =   212, predicted_class =   0, true_class =   0, nn =   742, distance =    0.78, accuracy = 1.00
test_object =   213, predicted_class =   0, true_class =   0, nn =   255, distance =    1.37, accuracy = 1.00
test_object =   214, predicted_class =   6, true_class =   6, nn =   645, distance =    0.53, accuracy = 1.00
test_object =   215, predicted_class =   6, true_class =   1, nn =   844, distance =    1.38, accuracy = 0.00
test_object =   216, predicted_class =   0, true_class =   0, nn =   703, distance =    0.74, accuracy = 1.00
test_object =   217, predicted_class =   0, true_class =   2, nn =   746, distance =    0.36, accuracy = 0.00
test_object =   218, predicted_class =   6, true_class =   0, nn =   149, distance =    1.58, accuracy = 0.00
test_object =   219, predicted_class =   0, true_class =   0, nn =   409, distance =    0.58, accuracy = 1.00
test_object =   220, predicted_class =   1, true_class =   1, nn =   266, distance =    0.68, accuracy = 1.00
test_object =   221, predicted_class =   6, true_class =   6, nn =   992, distance =    0.35, accuracy = 1.00
test_object =   222, predicted_class =   2, true_class =   2, nn =    57, distance =    0.93, accuracy = 1.00
test_object =   223, predicted_class =   0, true_class =   0, nn =   681, distance =    0.61, accuracy = 1.00
test_object =   224, predicted_class =   7, true_class =   7, nn =   663, distance =    1.27, accuracy = 1.00
test_object =   225, predicted_class =   1, true_class =   6, nn =   318, distance =    1.08, accuracy = 0.00
test_object =   226, predicted_class =   0, true_class =   0, nn =   656, distance =    1.01, accuracy = 1.00
test_object =   227, predicted_class =   0, true_class =   6, nn =   706, distance =    0.93, accuracy = 0.00
test_object =   228, predicted_class =   6, true_class =   8, nn =   944, distance =    0.25, accuracy = 0.00
test_object =   229, predicted_class =   0, true_class =   0, nn =   180, distance =    0.63, accuracy = 1.00
test_object =   230, predicted_class =   6, true_class =   0, nn =   848, distance =    0.96, accuracy = 0.00
test_object =   231, predicted_class =   6, true_class =   6, nn =   456, distance =    0.46, accuracy = 1.00
test_object =   232, predicted_class =   2, true_class =   2, nn =   154, distance =    0.70, accuracy = 1.00
test_object =   233, predicted_class =   6, true_class =   6, nn =   325, distance =    0.48, accuracy = 1.00
test_object =   234, predicted_class =   4, true_class =   0, nn =   954, distance =    0.52, accuracy = 0.00
test_object =   235, predicted_class =   2, true_class =   1, nn =   535, distance =    1.31, accuracy = 0.00
test_object =   236, predicted_class =   2, true_class =   6, nn =   430, distance =    2.28, accuracy = 0.00
test_object =   237, predicted_class =   6, true_class =   0, nn =   389, distance =    0.83, accuracy = 0.00
test_object =   238, predicted_class =   3, true_class =   3, nn =   494, distance =    1.08, accuracy = 1.00
test_object =   239, predicted_class =   4, true_class =   2, nn =   381, distance =    0.39, accuracy = 0.00
test_object =   240, predicted_class =   6, true_class =   6, nn =   906, distance =    0.40, accuracy = 1.00
test_object =   241, predicted_class =   6, true_class =   6, nn =   256, distance =    0.70, accuracy = 1.00
test_object =   242, predicted_class =   0, true_class =   2, nn =   571, distance =    0.64, accuracy = 0.00
test_object =   243, predicted_class =   7, true_class =   7, nn =   836, distance =    1.04, accuracy = 1.00
test_object =   244, predicted_class =   6, true_class =   1, nn =   634, distance =    0.42, accuracy = 0.00
test_object =   245, predicted_class =   1, true_class =   6, nn =   585, distance =    0.69, accuracy = 0.00
test_object =   246, predicted_class =   1, true_class =   1, nn =   343, distance =    0.70, accuracy = 1.00
test_object =   247, predicted_class =   1, true_class =   0, nn =   502, distance =    1.08, accuracy = 0.00
test_object =   248, predicted_class =   6, true_class =   6, nn =   798, distance =    0.33, accuracy = 1.00
test_object =   249, predicted_class =   0, true_class =   0, nn =   882, distance =    0.57, accuracy = 1.00
test_object =   250, predicted_class =   6, true_class =   8, nn =   862, distance =    0.42, accuracy = 0.00
test_object =   251, predicted_class =   2, true_class =   2, nn =   721, distance =    0.81, accuracy = 1.00
test_object =   252, predicted_class =   1, true_class =   0, nn =   740, distance =    0.81, accuracy = 0.00
test_object =   253, predicted_class =   6, true_class =   6, nn =   483, distance =    0.35, accuracy = 1.00
test_object =   254, predicted_class =   0, true_class =   0, nn =   791, distance =    0.73, accuracy = 1.00
test_object =   255, predicted_class =   3, true_class =   3, nn =   524, distance =    0.55, accuracy = 1.00
test_object =   256, predicted_class =   2, true_class =   2, nn =   327, distance =    0.67, accuracy = 1.00
test_object =   257, predicted_class =   1, true_class =   1, nn =    32, distance =    1.84, accuracy = 1.00
test_object =   258, predicted_class =   0, true_class =   0, nn =   306, distance =    0.47, accuracy = 1.00
test_object =   259, predicted_class =   6, true_class =   2, nn =   280, distance =    0.64, accuracy = 0.00
test_object =   260, predicted_class =   6, true_class =   1, nn =   292, distance =    0.84, accuracy = 0.00
test_object =   261, predicted_class =   1, true_class =   1, nn =   176, distance =    1.78, accuracy = 1.00
test_object =   262, predicted_class =   3, true_class =   3, nn =   131, distance =    0.41, accuracy = 1.00
test_object =   263, predicted_class =   6, true_class =   8, nn =   531, distance =    0.61, accuracy = 0.00
test_object =   264, predicted_class =   0, true_class =   1, nn =   194, distance =    0.60, accuracy = 0.00
test_object =   265, predicted_class =   0, true_class =   1, nn =   947, distance =    0.88, accuracy = 0.00
test_object =   266, predicted_class =   3, true_class =   3, nn =   859, distance =    1.07, accuracy = 1.00
test_object =   267, predicted_class =   6, true_class =   6, nn =   798, distance =    0.55, accuracy = 1.00
test_object =   268, predicted_class =   0, true_class =   6, nn =   104, distance =    0.64, accuracy = 0.00
test_object =   269, predicted_class =   1, true_class =   6, nn =   369, distance =    0.52, accuracy = 0.00
test_object =   270, predicted_class =   1, true_class =   6, nn =   163, distance =    0.62, accuracy = 0.00
test_object =   271, predicted_class =   6, true_class =   6, nn =   119, distance =    0.66, accuracy = 1.00
test_object =   272, predicted_class =   4, true_class =   7, nn =   580, distance =    0.54, accuracy = 0.00
test_object =   273, predicted_class =   1, true_class =   1, nn =   585, distance =    0.73, accuracy = 1.00
test_object =   274, predicted_class =   6, true_class =   1, nn =   834, distance =    0.78, accuracy = 0.00
test_object =   275, predicted_class =   1, true_class =   6, nn =   720, distance =    0.68, accuracy = 0.00
test_object =   276, predicted_class =   2, true_class =   2, nn =   735, distance =    0.62, accuracy = 1.00
test_object =   277, predicted_class =   2, true_class =   1, nn =   465, distance =    0.48, accuracy = 0.00
test_object =   278, predicted_class =   0, true_class =   0, nn =   970, distance =    0.37, accuracy = 1.00
test_object =   279, predicted_class =   6, true_class =   1, nn =   883, distance =    0.61, accuracy = 0.00
test_object =   280, predicted_class =   8, true_class =   6, nn =   469, distance =    0.70, accuracy = 0.00
test_object =   281, predicted_class =   0, true_class =   6, nn =   517, distance =    0.53, accuracy = 0.00
test_object =   282, predicted_class =   6, true_class =   1, nn =   887, distance =    0.72, accuracy = 0.00
test_object =   283, predicted_class =   6, true_class =   6, nn =   149, distance =    0.64, accuracy = 1.00
test_object =   284, predicted_class =   1, true_class =   1, nn =   802, distance =    0.75, accuracy = 1.00
test_object =   285, predicted_class =   6, true_class =   6, nn =   776, distance =    0.44, accuracy = 1.00
test_object =   286, predicted_class =   8, true_class =   1, nn =   814, distance =    0.70, accuracy = 0.00
test_object =   287, predicted_class =   6, true_class =   6, nn =   560, distance =    0.52, accuracy = 1.00
test_object =   288, predicted_class =   8, true_class =   2, nn =   711, distance =    1.04, accuracy = 0.00
test_object =   289, predicted_class =   2, true_class =   1, nn =   465, distance =    0.70, accuracy = 0.00
test_object =   290, predicted_class =   2, true_class =   2, nn =   590, distance =    0.64, accuracy = 1.00
test_object =   291, predicted_class =   4, true_class =   4, nn =   624, distance =    0.44, accuracy = 1.00
test_object =   292, predicted_class =   6, true_class =   1, nn =   922, distance =    0.66, accuracy = 0.00
test_object =   293, predicted_class =   6, true_class =   6, nn =   766, distance =    0.53, accuracy = 1.00
test_object =   294, predicted_class =   6, true_class =   7, nn =   282, distance =    0.79, accuracy = 0.00
