test_object =     0, predicted_class =   0, true_class =   0, nn =   130, distance =    0.34, accuracy = 0.00
test_object =   118, predicted_class =   1, true_class =   1, nn =     9, distance =    0.39, accuracy = 1.00
test_object =   119, predicted_class =   0, true_class =   0, nn =   130, distance =    0.34, accuracy = 0.00
test_object =   120, predicted_class =   0, true_class =   0, nn =    25, distance =    0.39, accuracy = 1.00
test_object =   121, predicted_class =   0, true_class =   1, nn =    31, distance =    0.40, accuracy = 0.00
test_object =   122, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =   123, predicted_class =   1, true_class =   1, nn =    66, distance =    0.35, accuracy = 0.00
test_object =   124, predicted_class =   1, true_class =   0, nn =    73, distance =    0.34, accuracy = 0.00
test_object =   125, predicted_class =   0, true_class =   0, nn =    18, distance =    0.38, accuracy = 0.00
test_object =   126, predicted_class =   0, true_class =   0, nn =    27, distance =    0.38, accuracy = 0.00
test_object =   127, predicted_class =   0, true_class =   0, nn =    31, distance =    0.40, accuracy = 0.00
test_object =   128, predicted_class =   0, true_class =   0, nn =    31, distance =    0.40, accuracy = 0.00
test_object =   129, predicted_class =   1, true_class =   1, nn =    90, distance =    0.38, accuracy = 0.00
test_object =   130, predicted_class =   1, true_class =   1, nn =     9, distance =    0.39, accuracy = 1.00
test_object =   131, predicted_class =   1, true_class =   1, nn =   131, distance =    0.35, accuracy = 0.00
test_object =   132, predicted_class =   0, true_class =   0, nn =    18, distance =    0.38, accuracy = 0.00
test_object =   133, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =   134, predicted_class =   0, true_class =   0, nn =   110, distance =    0.35, accuracy = 0.00
test_object =   135, predicted_class =   1, true_class =   0, nn =   172, distance =    0.35, accuracy = 0.00
test_object =   136, predicted_class =   1, true_class =   1, nn =     7, distance =    0.40, accuracy = 0.00
test_object =   137, predicted_class =   1, true_class =   0, nn =    73, distance =    0.34, accuracy = 0.00
test_object =   138, predicted_class =   1, true_class =   1, nn =   131, distance =    0.35, accuracy = 0.00
test_object =   139, predicted_class =   0, true_class =   1, nn =    40, distance =    0.39, accuracy = 0.00
test_object =   140, predicted_class =   0, true_class =   1, nn =    35, distance =    0.40, accuracy = 0.00
test_object =   141, predicted_class =   0, true_class =   1, nn =    42, distance =    0.34, accuracy = 0.00
test_object =   142, predicted_class =   0, true_class =   1, nn =    15, distance =    0.35, accuracy = 0.00
test_object =   143, predicted_class =   0, true_class =   0, nn =    17, distance =    0.38, accuracy = 0.00
test_object =   144, predicted_class =   0, true_class =   0, nn =    36, distance =    0.34, accuracy = 0.00
test_object =   145, predicted_class =   1, true_class =   0, nn =    64, distance =    0.35, accuracy = 0.00
test_object =   146, predicted_class =   0, true_class =   0, nn =    49, distance =    0.34, accuracy = 0.00
test_object =   147, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =   148, predicted_class =   0, true_class =   0, nn =    16, distance =    0.39, accuracy = 0.00
test_object =   149, predicted_class =   0, true_class =   1, nn =    18, distance =    0.38, accuracy = 0.00
test_object =   150, predicted_class =   1, true_class =   1, nn =    66, distance =    0.35, accuracy = 0.00
test_object =   151, predicted_class =   0, true_class =   0, nn =    74, distance =    0.38, accuracy = 1.00
test_object =   152, predicted_class =   0, true_class =   0, nn =     0, distance =    0.34, accuracy = 1.00
test_object =   153, predicted_class =   0, true_class =   1, nn =    42, distance =    0.34, accuracy = 0.00
test_object =   154, predicted_class =   0, true_class =   0, nn =    74, distance =    0.38, accuracy = 1.00
test_object =   155, predicted_class =   1, true_class =   0, nn =    43, distance =    0.38, accuracy = 0.00
test_object =   156, predicted_class =   0, true_class =   0, nn =   303, distance =    0.38, accuracy = 0.00
test_object =   157, predicted_class =   0, true_class =   1, nn =   130, distance =    0.34, accuracy = 0.00
test_object =   158, predicted_class =   1, true_class =   0, nn =    45, distance =    0.40, accuracy = 0.00
test_object =   159, predicted_class =   0, true_class =   0, nn =    34, distance =    0.39, accuracy = 1.00
test_object =   160, predicted_class =   0, true_class =   0, nn =    20, distance =    0.34, accuracy = 0.00
test_object =   161, predicted_class =   0, true_class =   0, nn =    68, distance =    0.34, accuracy = 1.00
test_object =   162, predicted_class =   0, true_class =   0, nn =    77, distance =    0.38, accuracy = 0.00
test_object =   163, predicted_class =   0, true_class =   0, nn =    32, distance =    0.35, accuracy = 0.00
test_object =   164, predicted_class =   1, true_class =   0, nn =    70, distance =    0.34, accuracy = 0.00
test_object =   165, predicted_class =   0, true_class =   0, nn =    91, distance =    0.34, accuracy = 0.00
test_object =   166, predicted_class =   1, true_class =   0, nn =    73, distance =    0.34, accuracy = 0.00
test_object =   167, predicted_class =   0, true_class =   1, nn =    17, distance =    0.38, accuracy = 0.00
test_object =   168, predicted_class =   0, true_class =   1, nn =    42, distance =    0.34, accuracy = 0.00
test_object =   169, predicted_class =   1, true_class =   1, nn =    64, distance =    0.35, accuracy = 0.00
test_object =   170, predicted_class =   0, true_class =   0, nn =   158, distance =    0.34, accuracy = 0.00
test_object =   171, predicted_class =   1, true_class =   1, nn =   131, distance =    0.35, accuracy = 0.00
test_object =   172, predicted_class =   0, true_class =   0, nn =    27, distance =    0.38, accuracy = 0.00
test_object =   173, predicted_class =   0, true_class =   1, nn =    20, distance =    0.34, accuracy = 0.00
test_object =   174, predicted_class =   0, true_class =   0, nn =    74, distance =    0.38, accuracy = 1.00
test_object =   175, predicted_class =   1, true_class =   1, nn =    47, distance =    0.40, accuracy = 0.00
test_object =   176, predicted_class =   1, true_class =   1, nn =    66, distance =    0.35, accuracy = 0.00
test_object =   177, predicted_class =   1, true_class =   1, nn =   172, distance =    0.35, accuracy = 1.00
test_object =   178, predicted_class =   0, true_class =   0, nn =    68, distance =    0.34, accuracy = 1.00
test_object =   179, predicted_class =   0, true_class =   0, nn =    16, distance =    0.39, accuracy = 0.00
test_object =   180, predicted_class =   0, true_class =   0, nn =    27, distance =    0.38, accuracy = 0.00
test_object =   181, predicted_class =   0, true_class =   0, nn =    36, distance =    0.34, accuracy = 0.00
test_object =   182, predicted_class =   0, true_class =   0, nn =    77, distance =    0.38, accuracy = 0.00
test_object =   183, predicted_class =   0, true_class =   0, nn =    16, distance =    0.39, accuracy = 0.00
test_object =   184, predicted_class =   0, true_class =   1, nn =    42, distance =    0.34, accuracy = 0.00
test_object =   185, predicted_class =   0, true_class =   0, nn =    60, distance =    0.35, accuracy = 1.00
test_object =   186, predicted_class =   0, true_class =   0, nn =   101, distance =    0.34, accuracy = 1.00
test_object =   187, predicted_class =   0, true_class =   1, nn =     2, distance =    0.35, accuracy = 0.00
test_object =   188, predicted_class =   1, true_class =   1, nn =     7, distance =    0.40, accuracy = 0.00
test_object =   189, predicted_class =   1, true_class =   0, nn =    24, distance =    0.40, accuracy = 0.00
test_object =   190, predicted_class =   0, true_class =   1, nn =    52, distance =    0.40, accuracy = 0.00
test_object =   191, predicted_class =   0, true_class =   0, nn =   110, distance =    0.35, accuracy = 0.00
test_object =   192, predicted_class =   0, true_class =   0, nn =    91, distance =    0.34, accuracy = 0.00
test_object =   193, predicted_class =   0, true_class =   0, nn =    53, distance =    0.35, accuracy = 0.00
test_object =   194, predicted_class =   0, true_class =   0, nn =    68, distance =    0.34, accuracy = 1.00
test_object =   195, predicted_class =   0, true_class =   0, nn =   109, distance =    0.39, accuracy = 0.00
test_object =   196, predicted_class =   0, true_class =   0, nn =    32, distance =    0.35, accuracy = 0.00
test_object =   197, predicted_class =   0, true_class =   0, nn =    16, distance =    0.39, accuracy = 0.00
test_object =   198, predicted_class =   0, true_class =   0, nn =    15, distance =    0.35, accuracy = 1.00
test_object =   199, predicted_class =   0, true_class =   0, nn =   184, distance =    0.34, accuracy = 0.00
test_object =   200, predicted_class =   0, true_class =   1, nn =    15, distance =    0.35, accuracy = 0.00
test_object =   201, predicted_class =   0, true_class =   0, nn =   184, distance =    0.34, accuracy = 0.00
test_object =   202, predicted_class =   0, true_class =   1, nn =     5, distance =    0.35, accuracy = 0.00


classification accuracy = 0.1872


Time taken in seconds2.302
