 3
reading data..
reading trainig data from : pendigits_training.txt
reading test data from : pendigits_test.txt
handling NNC with K:3
test_object =     0, predicted_class =   8, true_class =   8, nn =   270, distance =    0.75, accuracy = 1.00
test_object =    83, predicted_class =   1, true_class =   1, nn =  5719, distance =    1.03, accuracy = 1.00
test_object =    84, predicted_class =   5, true_class =   5, nn =  5500, distance =    0.82, accuracy = 1.00
test_object =    85, predicted_class =   1, true_class =   1, nn =  2826, distance =    1.12, accuracy = 1.00
test_object =    86, predicted_class =   2, true_class =   2, nn =  1317, distance =    0.53, accuracy = 1.00
test_object =    87, predicted_class =   0, true_class =   0, nn =  1564, distance =    0.40, accuracy = 1.00
test_object =    88, predicted_class =   8, true_class =   8, nn =  5110, distance =    1.21, accuracy = 1.00
test_object =    89, predicted_class =   0, true_class =   0, nn =  3213, distance =    0.84, accuracy = 1.00
test_object =    90, predicted_class =   9, true_class =   9, nn =  5407, distance =    1.22, accuracy = 1.00
test_object =    91, predicted_class =   7, true_class =   7, nn =  6332, distance =    0.38, accuracy = 1.00
test_object =    92, predicted_class =   3, true_class =   3, nn =   260, distance =    0.76, accuracy = 1.00
test_object =    93, predicted_class =   8, true_class =   8, nn =  5788, distance =    1.34, accuracy = 1.00
test_object =    94, predicted_class =   2, true_class =   2, nn =  4513, distance =    0.51, accuracy = 1.00
test_object =    95, predicted_class =   9, true_class =   9, nn =  4608, distance =    0.74, accuracy = 1.00
test_object =    96, predicted_class =   0, true_class =   0, nn =  1042, distance =    0.51, accuracy = 1.00
test_object =    97, predicted_class =   8, true_class =   8, nn =   970, distance =    0.59, accuracy = 1.00
test_object =    98, predicted_class =   4, true_class =   4, nn =  2047, distance =    0.65, accuracy = 1.00
test_object =    99, predicted_class =   7, true_class =   7, nn =  5095, distance =    0.66, accuracy = 1.00
test_object =   100, predicted_class =   6, true_class =   6, nn =  7327, distance =    0.53, accuracy = 1.00
test_object =   101, predicted_class =   7, true_class =   7, nn =   158, distance =    0.59, accuracy = 1.00
test_object =   102, predicted_class =   4, true_class =   4, nn =  4990, distance =    0.85, accuracy = 1.00
test_object =   103, predicted_class =   1, true_class =   1, nn =  1972, distance =    1.09, accuracy = 1.00
test_object =   104, predicted_class =   7, true_class =   7, nn =  6479, distance =    0.42, accuracy = 1.00
test_object =   105, predicted_class =   9, true_class =   9, nn =  4702, distance =    1.03, accuracy = 1.00
test_object =   106, predicted_class =   5, true_class =   5, nn =  5622, distance =    0.75, accuracy = 1.00
test_object =   107, predicted_class =   1, true_class =   1, nn =  2046, distance =    0.52, accuracy = 1.00
test_object =   108, predicted_class =   3, true_class =   3, nn =  4050, distance =    0.82, accuracy = 1.00
test_object =   109, predicted_class =   1, true_class =   1, nn =  5438, distance =    0.56, accuracy = 1.00
test_object =   110, predicted_class =   1, true_class =   1, nn =  5719, distance =    0.95, accuracy = 1.00
test_object =   111, predicted_class =   3, true_class =   3, nn =  1610, distance =    0.50, accuracy = 1.00
test_object =   112, predicted_class =   7, true_class =   7, nn =  1926, distance =    0.87, accuracy = 1.00
test_object =   113, predicted_class =   7, true_class =   7, nn =  5010, distance =    0.91, accuracy = 1.00
test_object =   114, predicted_class =   7, true_class =   7, nn =  3969, distance =    0.63, accuracy = 1.00
test_object =   115, predicted_class =   7, true_class =   7, nn =  3002, distance =    0.66, accuracy = 1.00
test_object =   116, predicted_class =   5, true_class =   5, nn =  1897, distance =    1.07, accuracy = 1.00
test_object =   117, predicted_class =   3, true_class =   3, nn =  6101, distance =    0.72, accuracy = 1.00
test_object =   118, predicted_class =   8, true_class =   8, nn =   705, distance =    0.77, accuracy = 1.00
test_object =   119, predicted_class =   1, true_class =   1, nn =  3162, distance =    1.00, accuracy = 1.00
test_object =   120, predicted_class =   6, true_class =   6, nn =  1176, distance =    1.53, accuracy = 1.00
test_object =   121, predicted_class =   6, true_class =   6, nn =  3469, distance =    0.56, accuracy = 1.00
test_object =   122, predicted_class =   5, true_class =   5, nn =  6122, distance =    0.97, accuracy = 1.00
test_object =   123, predicted_class =   3, true_class =   3, nn =  2141, distance =    0.60, accuracy = 1.00
test_object =   124, predicted_class =   0, true_class =   0, nn =  3871, distance =    0.68, accuracy = 1.00
test_object =   125, predicted_class =   2, true_class =   2, nn =  1097, distance =    0.65, accuracy = 1.00
test_object =   126, predicted_class =   5, true_class =   5, nn =  1966, distance =    0.79, accuracy = 1.00
test_object =   127, predicted_class =   4, true_class =   4, nn =  4551, distance =    0.95, accuracy = 1.00
test_object =   128, predicted_class =   0, true_class =   0, nn =  7372, distance =    0.60, accuracy = 1.00
test_object =   129, predicted_class =   7, true_class =   7, nn =  2441, distance =    0.98, accuracy = 1.00
test_object =   130, predicted_class =   4, true_class =   4, nn =  4138, distance =    1.14, accuracy = 1.00
test_object =   131, predicted_class =   3, true_class =   3, nn =    46, distance =    0.44, accuracy = 1.00
test_object =   132, predicted_class =   8, true_class =   8, nn =   560, distance =    1.61, accuracy = 1.00
test_object =   133, predicted_class =   1, true_class =   1, nn =  7209, distance =    0.80, accuracy = 1.00
test_object =   134, predicted_class =   4, true_class =   4, nn =  1122, distance =    0.87, accuracy = 1.00
test_object =   135, predicted_class =   7, true_class =   7, nn =  6891, distance =    1.44, accuracy = 1.00
test_object =   136, predicted_class =   4, true_class =   4, nn =  5328, distance =    0.44, accuracy = 1.00
test_object =   137, predicted_class =   0, true_class =   0, nn =   104, distance =    0.78, accuracy = 1.00
test_object =   138, predicted_class =   5, true_class =   5, nn =  2695, distance =    1.16, accuracy = 1.00
test_object =   139, predicted_class =   2, true_class =   2, nn =  2326, distance =    0.84, accuracy = 1.00
test_object =   140, predicted_class =   0, true_class =   0, nn =  6363, distance =    0.48, accuracy = 1.00
test_object =   141, predicted_class =   3, true_class =   3, nn =  3451, distance =    0.83, accuracy = 1.00
test_object =   142, predicted_class =   2, true_class =   2, nn =  3883, distance =    0.97, accuracy = 1.00
test_object =   143, predicted_class =   0, true_class =   0, nn =  2648, distance =    0.72, accuracy = 1.00
test_object =   144, predicted_class =   8, true_class =   8, nn =  2801, distance =    1.71, accuracy = 1.00
test_object =   145, predicted_class =   2, true_class =   2, nn =  7445, distance =    0.50, accuracy = 1.00
test_object =   146, predicted_class =   2, true_class =   2, nn =  6139, distance =    0.96, accuracy = 1.00
test_object =   147, predicted_class =   1, true_class =   1, nn =  3571, distance =    0.75, accuracy = 1.00
test_object =   148, predicted_class =   4, true_class =   4, nn =  3021, distance =    0.74, accuracy = 1.00
test_object =   149, predicted_class =   4, true_class =   4, nn =   957, distance =    0.81, accuracy = 1.00
test_object =   150, predicted_class =   0, true_class =   0, nn =  6074, distance =    0.83, accuracy = 1.00
test_object =   151, predicted_class =   7, true_class =   7, nn =  2095, distance =    1.44, accuracy = 1.00
test_object =   152, predicted_class =   1, true_class =   1, nn =  6359, distance =    0.82, accuracy = 1.00
test_object =   153, predicted_class =   6, true_class =   6, nn =  1369, distance =    1.83, accuracy = 1.00
test_object =   154, predicted_class =   2, true_class =   2, nn =  3352, distance =    0.86, accuracy = 1.00
test_object =   155, predicted_class =   8, true_class =   8, nn =  2985, distance =    0.92, accuracy = 1.00
test_object =   156, predicted_class =   2, true_class =   2, nn =    18, distance =    0.51, accuracy = 1.00
test_object =   157, predicted_class =   4, true_class =   4, nn =  3244, distance =    0.92, accuracy = 1.00
test_object =   158, predicted_class =   5, true_class =   5, nn =  1805, distance =    0.59, accuracy = 1.00
test_object =   159, predicted_class =   1, true_class =   1, nn =   903, distance =    0.76, accuracy = 1.00
test_object =   160, predicted_class =   5, true_class =   5, nn =   709, distance =    0.79, accuracy = 1.00
test_object =   161, predicted_class =   5, true_class =   5, nn =  3472, distance =    1.01, accuracy = 1.00
test_object =   162, predicted_class =   9, true_class =   9, nn =  3481, distance =    0.98, accuracy = 1.00
test_object =   163, predicted_class =   0, true_class =   0, nn =  1446, distance =    0.58, accuracy = 1.00
test_object =   164, predicted_class =   2, true_class =   2, nn =  4084, distance =    0.31, accuracy = 1.00
test_object =   165, predicted_class =   4, true_class =   4, nn =  6978, distance =    0.73, accuracy = 1.00
test_object =   166, predicted_class =   1, true_class =   1, nn =  4788, distance =    0.66, accuracy = 1.00
test_object =   167, predicted_class =   3, true_class =   3, nn =  6243, distance =    1.14, accuracy = 1.00
test_object =   168, predicted_class =   0, true_class =   0, nn =  2842, distance =    0.36, accuracy = 1.00
test_object =   169, predicted_class =   9, true_class =   9, nn =  3782, distance =    1.09, accuracy = 1.00
test_object =   170, predicted_class =   9, true_class =   9, nn =  4654, distance =    1.27, accuracy = 1.00
test_object =   171, predicted_class =   2, true_class =   2, nn =  2621, distance =    0.95, accuracy = 1.00
test_object =   172, predicted_class =   6, true_class =   6, nn =  1664, distance =    1.57, accuracy = 1.00
test_object =   173, predicted_class =   6, true_class =   6, nn =  5452, distance =    0.59, accuracy = 1.00
test_object =   174, predicted_class =   8, true_class =   8, nn =  4590, distance =    1.30, accuracy = 1.00
test_object =   175, predicted_class =   5, true_class =   5, nn =  6145, distance =    0.91, accuracy = 1.00
test_object =   176, predicted_class =   3, true_class =   3, nn =  3830, distance =    0.64, accuracy = 1.00
test_object =   177, predicted_class =   1, true_class =   1, nn =  6187, distance =    0.53, accuracy = 1.00
test_object =   178, predicted_class =   5, true_class =   5, nn =  4357, distance =    0.77, accuracy = 1.00
test_object =   179, predicted_class =   0, true_class =   0, nn =  2880, distance =    0.84, accuracy = 1.00
test_object =   180, predicted_class =   9, true_class =   9, nn =  5591, distance =    1.11, accuracy = 1.00
test_object =   181, predicted_class =   1, true_class =   1, nn =   213, distance =    0.65, accuracy = 1.00
test_object =   182, predicted_class =   6, true_class =   6, nn =  5375, distance =    0.81, accuracy = 1.00
test_object =   183, predicted_class =   0, true_class =   0, nn =  7006, distance =    0.48, accuracy = 1.00
test_object =   184, predicted_class =   2, true_class =   2, nn =  2326, distance =    0.93, accuracy = 1.00
test_object =   185, predicted_class =   8, true_class =   8, nn =  6353, distance =    0.77, accuracy = 1.00
test_object =   186, predicted_class =   6, true_class =   6, nn =  4152, distance =    0.82, accuracy = 1.00
test_object =   187, predicted_class =   0, true_class =   0, nn =  1446, distance =    0.74, accuracy = 1.00
test_object =   188, predicted_class =   6, true_class =   6, nn =  7057, distance =    0.62, accuracy = 1.00
test_object =   189, predicted_class =   4, true_class =   4, nn =  2646, distance =    0.72, accuracy = 1.00
test_object =   190, predicted_class =   2, true_class =   2, nn =  3706, distance =    0.60, accuracy = 1.00
test_object =   191, predicted_class =   5, true_class =   5, nn =  5500, distance =    1.11, accuracy = 1.00
test_object =   192, predicted_class =   1, true_class =   1, nn =  1586, distance =    1.01, accuracy = 1.00
test_object =   193, predicted_class =   8, true_class =   8, nn =   256, distance =    2.34, accuracy = 1.00
test_object =   194, predicted_class =   2, true_class =   2, nn =  7229, distance =    0.53, accuracy = 1.00
test_object =   195, predicted_class =   5, true_class =   5, nn =  6722, distance =    0.61, accuracy = 1.00
test_object =   196, predicted_class =   0, true_class =   0, nn =  3010, distance =    0.58, accuracy = 1.00
test_object =   197, predicted_class =   3, true_class =   3, nn =  3414, distance =    0.76, accuracy = 1.00
test_object =   198, predicted_class =   0, true_class =   0, nn =  6301, distance =    0.53, accuracy = 1.00
test_object =   199, predicted_class =   6, true_class =   6, nn =  1709, distance =    0.74, accuracy = 1.00
test_object =   200, predicted_class =   5, true_class =   5, nn =   500, distance =    1.21, accuracy = 1.00
test_object =   201, predicted_class =   7, true_class =   7, nn =  5010, distance =    0.67, accuracy = 1.00
test_object =   202, predicted_class =   1, true_class =   1, nn =  4081, distance =    0.74, accuracy = 1.00
test_object =   203, predicted_class =   6, true_class =   6, nn =  4858, distance =    0.81, accuracy = 1.00
test_object =   204, predicted_class =   2, true_class =   2, nn =  5088, distance =    0.70, accuracy = 1.00
test_object =   205, predicted_class =   9, true_class =   9, nn =  2250, distance =    1.39, accuracy = 1.00
test_object =   206, predicted_class =   8, true_class =   8, nn =  1660, distance =    0.91, accuracy = 1.00
test_object =   207, predicted_class =   1, true_class =   1, nn =   918, distance =    0.43, accuracy = 1.00
test_object =   208, predicted_class =   0, true_class =   0, nn =  7262, distance =    0.42, accuracy = 1.00
test_object =   209, predicted_class =   7, true_class =   7, nn =  5797, distance =    0.53, accuracy = 1.00
test_object =   210, predicted_class =   1, true_class =   1, nn =  5719, distance =    0.69, accuracy = 1.00
test_object =   211, predicted_class =   8, true_class =   8, nn =   630, distance =    0.88, accuracy = 1.00
test_object =   212, predicted_class =   6, true_class =   6, nn =  3396, distance =    0.64, accuracy = 1.00
test_object =   213, predicted_class =   3, true_class =   3, nn =  1983, distance =    0.60, accuracy = 1.00
test_object =   214, predicted_class =   2, true_class =   2, nn =  4420, distance =    1.44, accuracy = 1.00
test_object =   215, predicted_class =   2, true_class =   2, nn =  3706, distance =    0.55, accuracy = 1.00
test_object =   216, predicted_class =   7, true_class =   7, nn =  6891, distance =    1.38, accuracy = 1.00
test_object =   217, predicted_class =   8, true_class =   8, nn =  3827, distance =    1.00, accuracy = 1.00
test_object =   218, predicted_class =   5, true_class =   5, nn =  6722, distance =    0.82, accuracy = 1.00
test_object =   219, predicted_class =   4, true_class =   4, nn =  3702, distance =    0.72, accuracy = 1.00
test_object =   220, predicted_class =   4, true_class =   4, nn =  5174, distance =    0.80, accuracy = 1.00
test_object =   221, predicted_class =   9, true_class =   9, nn =  5900, distance =    0.94, accuracy = 1.00
test_object =   222, predicted_class =   8, true_class =   8, nn =  2879, distance =    0.62, accuracy = 1.00
test_object =   223, predicted_class =   8, true_class =   8, nn =   225, distance =    1.82, accuracy = 1.00
test_object =   224, predicted_class =   1, true_class =   1, nn =   494, distance =    1.06, accuracy = 1.00
test_object =   225, predicted_class =   5, true_class =   5, nn =  3142, distance =    0.73, accuracy = 1.00
test_object =   226, predicted_class =   0, true_class =   0, nn =  4953, distance =    1.21, accuracy = 1.00
test_object =   227, predicted_class =   2, true_class =   2, nn =  5102, distance =    0.55, accuracy = 1.00
test_object =   228, predicted_class =   2, true_class =   2, nn =  6284, distance =    1.13, accuracy = 1.00
test_object =   229, predicted_class =   7, true_class =   7, nn =  2597, distance =    0.62, accuracy = 1.00
test_object =   230, predicted_class =   7, true_class =   7, nn =  5095, distance =    1.52, accuracy = 1.00
test_object =   231, predicted_class =   9, true_class =   9, nn =  6005, distance =    1.36, accuracy = 1.00
test_object =   232, predicted_class =   0, true_class =   0, nn =  3455, distance =    0.84, accuracy = 1.00
test_object =   233, predicted_class =   6, true_class =   6, nn =  6911, distance =    0.74, accuracy = 1.00
test_object =   234, predicted_class =   2, true_class =   2, nn =  5161, distance =    0.53, accuracy = 1.00
test_object =   235, predicted_class =   3, true_class =   3, nn =   498, distance =    0.87, accuracy = 1.00
test_object =   236, predicted_class =   6, true_class =   6, nn =   844, distance =    0.91, accuracy = 1.00
test_object =   237, predicted_class =   6, true_class =   6, nn =  3138, distance =    0.90, accuracy = 1.00
test_object =   238, predicted_class =   4, true_class =   4, nn =  1817, distance =    1.74, accuracy = 1.00
test_object =   239, predicted_class =   6, true_class =   6, nn =  5202, distance =    0.45, accuracy = 1.00
test_object =   240, predicted_class =   7, true_class =   7, nn =  4557, distance =    0.86, accuracy = 1.00
test_object =   241, predicted_class =   0, true_class =   0, nn =  6110, distance =    0.52, accuracy = 1.00
test_object =   242, predicted_class =   9, true_class =   9, nn =  5807, distance =    1.32, accuracy = 1.00
test_object =   243, predicted_class =   1, true_class =   9, nn =  7251, distance =    1.08, accuracy = 0.00
test_object =   244, predicted_class =   3, true_class =   3, nn =   618, distance =    0.59, accuracy = 1.00
test_object =   245, predicted_class =   6, true_class =   6, nn =   653, distance =    0.57, accuracy = 1.00
test_object =   246, predicted_class =   6, true_class =   6, nn =  5741, distance =    1.02, accuracy = 1.00
test_object =   247, predicted_class =   8, true_class =   8, nn =  3833, distance =    0.81, accuracy = 1.00
test_object =   248, predicted_class =   5, true_class =   5, nn =  4373, distance =    1.08, accuracy = 1.00
test_object =   249, predicted_class =   2, true_class =   2, nn =  5659, distance =    0.81, accuracy = 1.00
test_object =   250, predicted_class =   1, true_class =   1, nn =  2168, distance =    0.91, accuracy = 1.00
test_object =   251, predicted_class =   3, true_class =   3, nn =  5126, distance =    0.83, accuracy = 1.00
test_object =   252, predicted_class =   8, true_class =   8, nn =   876, distance =    1.07, accuracy = 1.00
test_object =   253, predicted_class =   2, true_class =   2, nn =  4830, distance =    0.68, accuracy = 1.00
test_object =   254, predicted_class =   5, true_class =   5, nn =  2811, distance =    0.88, accuracy = 1.00
test_object =   255, predicted_class =   0, true_class =   0, nn =  5470, distance =    0.60, accuracy = 1.00
test_object =   256, predicted_class =   2, true_class =   2, nn =   860, distance =    0.95, accuracy = 1.00
test_object =   257, predicted_class =   6, true_class =   6, nn =   680, distance =    0.56, accuracy = 1.00
test_object =   258, predicted_class =   4, true_class =   4, nn =  5081, distance =    0.68, accuracy = 1.00
test_object =   259, predicted_class =   7, true_class =   7, nn =  1427, distance =    0.71, accuracy = 1.00
test_object =   260, predicted_class =   4, true_class =   4, nn =  3103, distance =    0.94, accuracy = 1.00
test_object =   261, predicted_class =   8, true_class =   8, nn =  3370, distance =    0.78, accuracy = 1.00
test_object =   262, predicted_class =   4, true_class =   4, nn =  3183, distance =    0.75, accuracy = 1.00
test_object =   263, predicted_class =   6, true_class =   6, nn =  2079, distance =    0.71, accuracy = 1.00
test_object =   264, predicted_class =   9, true_class =   9, nn =  6005, distance =    1.26, accuracy = 1.00
test_object =   265, predicted_class =   0, true_class =   0, nn =  1564, distance =    0.64, accuracy = 1.00
test_object =   266, predicted_class =   9, true_class =   9, nn =  1217, distance =    0.83, accuracy = 1.00
test_object =   267, predicted_class =   9, true_class =   0, nn =  5748, distance =    3.28, accuracy = 0.00
test_object =   268, predicted_class =   2, true_class =   2, nn =  3567, distance =    0.60, accuracy = 1.00
test_object =   269, predicted_class =   0, true_class =   0, nn =  5138, distance =    0.51, accuracy = 1.00
test_object =   270, predicted_class =   8, true_class =   8, nn =  4914, distance =    1.06, accuracy = 1.00
test_object =   271, predicted_class =   4, true_class =   4, nn =  2731, distance =    0.93, accuracy = 1.00
test_object =   272, predicted_class =   1, true_class =   1, nn =   832, distance =    0.61, accuracy = 1.00
test_object =   273, predicted_class =   6, true_class =   6, nn =   993, distance =    0.59, accuracy = 1.00
test_object =   274, predicted_class =   7, true_class =   7, nn =  3949, distance =    0.62, accuracy = 1.00
test_object =   275, predicted_class =   1, true_class =   1, nn =  4815, distance =    0.66, accuracy = 1.00
test_object =   276, predicted_class =   8, true_class =   8, nn =  6645, distance =    0.91, accuracy = 1.00
test_object =   277, predicted_class =   1, true_class =   1, nn =  2258, distance =    1.03, accuracy = 1.00
test_object =   278, predicted_class =   2, true_class =   2, nn =  6292, distance =    0.56, accuracy = 1.00
test_object =   279, predicted_class =   9, true_class =   9, nn =  4608, distance =    1.14, accuracy = 1.00
test_object =   280, predicted_class =   1, true_class =   1, nn =  1197, distance =    0.74, accuracy = 1.00
test_object =   281, predicted_class =   7, true_class =   7, nn =   910, distance =    0.63, accuracy = 1.00
test_object =   282, predicted_class =   2, true_class =   2, nn =  2813, distance =    0.68, accuracy = 1.00
test_object =   283, predicted_class =   2, true_class =   2, nn =  1335, distance =    0.61, accuracy = 1.00
test_object =   284, predicted_class =   0, true_class =   0, nn =  3091, distance =    0.64, accuracy = 1.00
test_object =   285, predicted_class =   0, true_class =   0, nn =   189, distance =    0.69, accuracy = 1.00
test_object =   286, predicted_class =   7, true_class =   7, nn =  3948, distance =    0.60, accuracy = 1.00
test_object =   287, predicted_class =   8, true_class =   8, nn =  2781, distance =    1.73, accuracy = 1.00
test_object =   288, predicted_class =   3, true_class =   3, nn =   260, distance =    0.73, accuracy = 1.00
